Ligand,Pocket,Best Score (kcal/mol),All Scores
CIMG_00780_prepared_Beauvericin,16,-7.5,"[-7.5, 0.0, 0.0, -7.4, 1.043, 7.486, -7.0, 1.751, 8.205, -7.0, 1.735, 7.647, -6.8, 1.134, 7.771, -6.5, 2.257, 7.699, -6.4, 3.097, 8.291, -6.3, 2.717, 8.451, -6.3, 1.986, 6.497, -6.1, 2.509, 7.798]"
CIMG_00780_prepared_Beauvericin,6,-8.4,"[-8.4, 0.0, 0.0, -8.3, 2.69, 8.299, -8.1, 2.59, 7.209, -8.0, 3.49, 8.795, -8.0, 4.987, 8.416, -7.9, 3.866, 8.542, -7.9, 1.765, 3.195, -7.9, 4.766, 9.343, -7.8, 2.359, 8.342, -7.8, 3.205, 7.888]"
CIMG_00780_prepared_Tacrolimus,5,-6.6,"[-6.6, 0.0, 0.0, -6.2, 3.755, 6.834, -5.6, 4.376, 8.297, -5.5, 11.202, 14.281, -5.3, 3.383, 8.142, -5.3, 11.303, 14.194, -5.2, 3.581, 9.448, -4.8, 4.34, 8.886, -4.5, 10.441, 13.269, -4.4, 8.055, 12.653]"
CIMG_00780_prepared_Tacrolimus,12,-6.7,"[-6.7, 0.0, 0.0, -6.6, 3.992, 6.532, -6.4, 3.359, 7.619, -6.4, 0.9, 1.602, -6.3, 3.764, 10.311, -6.3, 3.58, 6.32, -6.3, 4.48, 12.027, -6.2, 3.525, 11.379, -6.1, 2.387, 3.307, -6.1, 2.43, 5.617]"
CIMG_00780_prepared_Tacrolimus,1,-5.5,"[-5.5, 0.0, 0.0, -5.1, 3.048, 12.444, -5.0, 3.855, 12.54, -4.3, 0.945, 1.275, -4.3, 3.814, 12.549, -2.6, 3.387, 12.859, -1.7, 2.703, 10.825]"
CIMG_00780_prepared_Tacrolimus,14,-8.9,"[-8.9, 0.0, 0.0, -7.4, 0.821, 1.017, -7.2, 2.417, 4.139, -6.5, 2.633, 10.261, -6.5, 2.412, 10.327, -6.4, 2.262, 10.213, -6.2, 3.06, 9.809, -6.2, 2.235, 10.938, -5.9, 2.173, 10.335, -5.7, 3.675, 7.767]"
CIMG_00780_prepared_Tacrolimus,4,-7.3,"[-7.3, 0.0, 0.0, -7.1, 4.335, 6.441, -6.7, 0.923, 1.26, -6.7, 3.508, 7.247, -6.3, 3.589, 7.237, -6.1, 4.227, 11.67, -5.7, 6.742, 15.168, -4.6, 2.646, 4.758, -4.4, 3.821, 12.43, -4.2, 2.614, 4.687]"
CIMG_00780_prepared_Tacrolimus,11,-5.5,"[-5.5, 0.0, 0.0, -5.5, 3.145, 12.628, -4.4, 4.83, 14.363, -4.3, 0.987, 1.31, -4.1, 3.908, 12.516, -4.0, 5.08, 9.623, -3.5, 5.061, 9.585, -2.8, 3.635, 13.015, -2.6, 5.755, 14.082, -2.0, 3.824, 6.933]"
CIMG_00780_prepared_Tacrolimus,18,-7.8,"[-7.8, 0.0, 0.0, -7.8, 4.244, 8.785, -7.7, 3.83, 6.637, -7.1, 1.825, 2.496, -7.0, 4.855, 12.928, -6.9, 2.281, 5.847, -6.8, 4.665, 10.495, -6.8, 5.428, 14.226, -6.7, 7.618, 12.658, -6.7, 3.072, 6.662]"
CIMG_00780_prepared_Tacrolimus,3,-9.7,"[-9.7, 0.0, 0.0, -9.4, 2.754, 6.237, -8.6, 3.251, 7.26, -8.6, 2.392, 10.033, -8.4, 12.409, 20.728, -8.4, 2.443, 5.988, -8.2, 2.799, 6.481, -7.7, 2.577, 10.778, -7.6, 12.317, 20.331, -6.9, 2.09, 10.086]"
CIMG_00780_prepared_Tacrolimus,9,-7.5,"[-7.5, 0.0, 0.0, -7.1, 3.714, 9.265, -7.1, 3.434, 7.089, -6.6, 1.335, 1.912, -6.4, 3.531, 9.536, -6.3, 0.892, 1.351, -5.6, 3.664, 5.947, -4.8, 1.155, 1.717, -4.1, 2.996, 11.576, -3.9, 1.444, 1.686]"
CIMG_00780_prepared_Tacrolimus,8,-7.3,"[-7.3, 0.0, 0.0, -6.4, 2.931, 9.989, -6.3, 15.376, 19.734, -5.9, 11.078, 18.212, -5.8, 2.712, 3.514, -5.8, 2.948, 10.106, -5.7, 3.321, 6.131, -5.7, 3.632, 6.658, -5.6, 15.414, 20.064, -5.4, 2.169, 3.106]"
CIMG_00780_prepared_Tacrolimus,10,-7.7,"[-7.7, 0.0, 0.0, -7.5, 3.621, 8.136, -7.4, 3.317, 8.271, -7.1, 3.495, 8.605, -7.0, 4.307, 9.089, -7.0, 4.527, 9.129, -6.9, 2.81, 5.547, -6.8, 3.144, 8.247, -6.8, 14.124, 18.918, -6.8, 3.896, 8.465]"
CIMG_00780_prepared_Tacrolimus,2,-10.1,"[-10.1, 0.0, 0.0]"
CIMG_00780_prepared_Tacrolimus,15,-10.9,"[-10.9, 0.0, 0.0, -9.7, 2.102, 10.1, -9.5, 2.582, 10.855, -9.4, 2.627, 9.899, -9.1, 2.851, 9.821, -9.0, 2.686, 10.845, -8.8, 3.009, 6.651, -8.6, 3.844, 7.506, -8.4, 4.502, 10.454, -8.3, 3.505, 7.267]"
CIMG_00780_prepared_Tacrolimus,7,-8.4,"[-8.4, 0.0, 0.0, -7.8, 1.446, 1.769, -7.5, 2.374, 2.803, -7.4, 3.837, 10.203, -7.3, 2.922, 10.847, -7.0, 3.96, 7.243, -6.9, 3.901, 6.995, -6.9, 2.28, 10.737, -6.8, 2.959, 3.783, -6.7, 2.756, 5.308]"
CIMG_00780_prepared_Tacrolimus,13,-7.3,"[-7.3, 0.0, 0.0, -4.6, 4.085, 12.189, -4.4, 3.88, 12.048, -3.8, 1.872, 2.374, -3.3, 3.109, 5.808]"
CIMG_00780_prepared_Tacrolimus,17,-7.3,"[-7.3, 0.0, 0.0, -7.2, 11.336, 14.732, -7.1, 14.515, 17.843, -7.0, 13.222, 17.338, -7.0, 11.888, 17.478, -6.9, 5.074, 11.626, -6.9, 3.311, 11.461, -6.8, 9.194, 13.778, -6.7, 12.638, 17.897, -6.6, 11.075, 14.592]"
CIMG_00780_prepared_Tacrolimus,16,-6.8,"[-6.8, 0.0, 0.0, -6.7, 4.045, 7.917, -5.6, 2.526, 4.983, -5.2, 2.741, 3.698, -5.1, 3.488, 8.188, -4.8, 4.486, 8.118, -4.6, 2.041, 2.8, -3.6, 4.145, 8.357, -3.2, 3.581, 8.589]"
CIMG_00780_prepared_Tacrolimus,6,-8.2,"[-8.2, 0.0, 0.0, -8.2, 2.728, 4.197, -8.1, 1.11, 1.345, -7.5, 3.6, 11.444, -7.4, 2.713, 6.069, -7.3, 2.756, 9.995, -7.2, 3.612, 9.357, -7.0, 4.776, 8.868, -7.0, 1.854, 2.16, -6.9, 5.336, 10.181]"
CIMG_00780_prepared_Verapamil,5,-7.7,"[-7.7, 0.0, 0.0, -7.5, 3.205, 5.314, -7.5, 2.895, 5.618, -7.5, 2.808, 5.633, -7.5, 2.665, 5.42, -7.5, 2.7, 7.553, -7.4, 2.353, 4.547, -7.4, 2.627, 4.301, -7.4, 2.905, 7.387, -7.3, 2.849, 7.537]"
CIMG_00780_prepared_Verapamil,12,-6.4,"[-6.4, 0.0, 0.0, -6.3, 1.722, 2.523, -6.3, 6.261, 10.529, -6.2, 7.262, 10.676, -6.1, 6.417, 10.757, -6.0, 6.042, 10.15, -6.0, 6.382, 10.77, -5.9, 1.818, 2.925, -5.9, 3.454, 8.781, -5.8, 6.829, 10.965]"
CIMG_00780_prepared_Verapamil,1,-7.6,"[-7.6, 0.0, 0.0, -7.4, 1.771, 3.219, -7.4, 1.11, 2.491, -7.4, 1.634, 2.743, -7.4, 3.135, 6.545, -7.4, 2.25, 3.55, -7.3, 1.832, 4.025, -7.3, 1.496, 2.919, -7.3, 3.724, 6.592, -7.3, 3.013, 7.206]"
CIMG_00780_prepared_Verapamil,14,-6.7,"[-6.7, 0.0, 0.0, -6.6, 2.636, 5.696, -6.5, 1.942, 4.789, -6.4, 2.404, 5.777, -6.4, 2.468, 4.557, -6.4, 2.503, 5.625, -6.3, 2.78, 6.016, -6.3, 3.453, 7.393, -6.3, 3.67, 6.641, -6.3, 2.577, 5.752]"
CIMG_00780_prepared_Verapamil,4,-6.8,"[-6.8, 0.0, 0.0, -6.6, 1.737, 3.306, -6.6, 1.737, 3.379, -6.4, 2.245, 3.757, -6.2, 1.876, 3.252, -6.2, 2.015, 5.315, -6.2, 1.898, 3.359, -6.1, 1.23, 2.086, -6.1, 3.597, 6.891, -6.1, 2.366, 4.965]"
CIMG_00780_prepared_Verapamil,11,-7.6,"[-7.6, 0.0, 0.0, -7.5, 3.124, 7.239, -7.5, 3.177, 7.446, -7.5, 2.968, 6.832, -7.5, 2.815, 6.645, -7.4, 3.057, 7.364, -7.4, 3.067, 7.5, -7.4, 3.042, 7.268, -7.3, 3.273, 7.024, -7.3, 4.463, 7.429]"
CIMG_00780_prepared_Verapamil,18,-6.6,"[-6.6, 0.0, 0.0, -6.4, 0.962, 1.845, -5.9, 2.186, 3.877, -5.9, 2.948, 5.102, -5.9, 2.041, 3.883, -5.8, 1.943, 3.665, -5.8, 1.865, 3.004, -5.7, 2.126, 3.827, -5.7, 2.5, 4.072, -5.7, 1.963, 8.118]"
CIMG_00780_prepared_Verapamil,3,-6.7,"[-6.7, 0.0, 0.0, -6.7, 2.828, 4.463, -6.6, 2.902, 5.699, -6.5, 2.615, 7.493, -6.5, 2.756, 6.028, -6.5, 3.293, 6.345, -6.5, 2.549, 6.633, -6.5, 2.625, 6.814, -6.5, 2.54, 7.215, -6.5, 2.981, 5.143]"
CIMG_00780_prepared_Verapamil,9,-5.9,"[-5.9, 0.0, 0.0, -5.9, 2.375, 4.094, -5.8, 0.763, 1.612, -5.8, 1.152, 2.072, -5.8, 1.564, 5.178, -5.7, 1.529, 5.312, -5.7, 5.658, 9.643, -5.6, 4.13, 8.299, -5.6, 2.784, 5.61, -5.6, 2.465, 6.127]"
CIMG_00780_prepared_Verapamil,8,-6.5,"[-6.5, 0.0, 0.0, -6.5, 2.03, 3.476, -6.5, 2.901, 6.356, -6.4, 2.163, 3.211, -6.4, 2.275, 5.061, -6.4, 1.593, 2.493, -6.3, 2.579, 4.501, -6.3, 2.662, 6.143, -6.3, 3.052, 5.782, -6.3, 2.215, 5.316]"
CIMG_00780_prepared_Verapamil,10,-8.1,"[-8.1, 0.0, 0.0, -7.9, 5.92, 8.711, -7.8, 5.948, 9.43, -7.7, 1.24, 2.226, -7.6, 6.074, 8.495, -7.5, 5.574, 10.026, -7.3, 5.81, 9.057, -7.1, 8.246, 11.387, -7.0, 8.228, 11.491, -6.9, 8.262, 10.961]"
CIMG_00780_prepared_Verapamil,2,-7.5,"[-7.5, 0.0, 0.0, -7.1, 1.004, 1.901, -7.0, 2.868, 5.746, -7.0, 6.38, 11.395, -7.0, 2.436, 3.082, -7.0, 2.451, 6.072, -7.0, 2.812, 5.602, -6.9, 2.533, 5.948, -6.9, 1.885, 6.142, -6.9, 2.635, 3.565]"
CIMG_00780_prepared_Verapamil,15,-6.8,"[-6.8, 0.0, 0.0, -6.7, 2.552, 7.332, -6.7, 2.765, 6.327, -6.7, 2.396, 4.167, -6.6, 2.745, 4.56, -6.6, 2.509, 4.238, -6.6, 2.723, 4.835, -6.6, 2.755, 5.971, -6.6, 2.58, 4.077, -6.6, 2.789, 5.2]"
CIMG_00780_prepared_Verapamil,7,-6.8,"[-6.8, 0.0, 0.0, -6.8, 5.857, 10.023, -6.8, 5.461, 9.05, -6.8, 2.03, 7.717, -6.7, 5.671, 10.943, -6.7, 5.313, 9.097, -6.7, 5.424, 7.628, -6.7, 2.78, 5.081, -6.6, 2.602, 4.319, -6.6, 5.063, 7.597]"
CIMG_00780_prepared_Verapamil,13,-6.9,"[-6.9, 0.0, 0.0, -6.8, 2.19, 6.654, -6.7, 1.721, 3.096, -6.7, 3.998, 5.737, -6.7, 2.033, 3.874, -6.6, 1.144, 2.029, -6.5, 3.319, 9.051, -6.5, 2.671, 9.686, -6.5, 1.486, 2.478, -6.4, 3.965, 5.437]"
CIMG_00780_prepared_Verapamil,17,-6.7,"[-6.7, 0.0, 0.0, -6.3, 1.768, 8.82, -6.3, 1.308, 1.858, -6.3, 1.729, 8.86, -6.2, 1.962, 9.563, -6.2, 1.665, 9.127, -6.2, 1.792, 2.955, -6.1, 1.785, 8.915, -6.0, 2.364, 9.572, -6.0, 2.591, 8.645]"
CIMG_00780_prepared_Verapamil,16,-7.4,"[-7.4, 0.0, 0.0, -7.4, 1.575, 2.1, -7.2, 1.663, 2.199, -7.2, 1.335, 2.246, -7.2, 1.433, 2.409, -7.1, 2.018, 9.502, -6.9, 3.778, 5.302, -6.9, 3.682, 10.78, -6.9, 1.539, 2.526, -6.9, 2.105, 9.6]"
CIMG_00780_prepared_Verapamil,6,-7.0,"[-7.0, 0.0, 0.0, -7.0, 2.502, 5.181, -6.9, 3.262, 6.164, -6.9, 0.674, 1.676, -6.8, 2.424, 4.354, -6.8, 3.944, 7.636, -6.7, 2.374, 4.609, -6.6, 2.558, 4.297, -6.5, 2.358, 4.197, -6.4, 3.42, 7.471]"
CIMG_06197_prepared_Disulfiram,5,-4.5,"[-4.5, 0.0, 0.0, -4.4, 2.131, 3.12, -4.4, 1.704, 3.007, -4.3, 3.379, 4.533, -4.2, 3.295, 4.575, -4.1, 1.835, 5.596, -4.0, 4.11, 5.6, -4.0, 11.813, 13.39, -3.8, 4.589, 6.257, -3.8, 8.767, 10.91]"
CIMG_06197_prepared_Disulfiram,12,-3.9,"[-3.9, 0.0, 0.0, -3.9, 2.53, 4.818, -3.8, 1.854, 3.165, -3.8, 1.979, 5.853, -3.8, 1.158, 5.152, -3.8, 2.172, 4.77, -3.8, 4.403, 6.461, -3.7, 3.035, 4.624, -3.7, 1.801, 5.867, -3.7, 2.9, 4.899]"
CIMG_06197_prepared_Disulfiram,1,-5.0,"[-5.0, 0.0, 0.0, -4.9, 1.492, 2.575, -4.9, 1.297, 1.962, -4.9, 1.857, 6.113, -4.8, 3.237, 6.975, -4.8, 3.26, 7.068, -4.8, 1.243, 6.198, -4.8, 1.871, 6.01, -4.8, 3.148, 4.417, -4.8, 2.411, 6.77]"
CIMG_06197_prepared_Disulfiram,14,-4.7,"[-4.7, 0.0, 0.0, -4.7, 0.489, 6.642, -4.7, 0.113, 6.547, -4.7, 1.225, 6.756, -4.7, 1.235, 2.036, -4.7, 0.183, 1.565, -4.6, 2.639, 3.828, -4.6, 2.642, 6.751, -4.6, 2.541, 6.899, -4.6, 2.302, 6.761]"
CIMG_06197_prepared_Disulfiram,4,-4.5,"[-4.5, 0.0, 0.0, -4.4, 0.803, 7.185, -4.4, 0.623, 1.791, -4.4, 1.174, 6.681, -4.4, 3.711, 7.6, -4.4, 0.461, 6.872, -4.3, 4.894, 7.472, -4.3, 4.814, 7.572, -4.3, 3.812, 7.323, -4.3, 3.755, 6.158]"
CIMG_06197_prepared_Disulfiram,11,-4.4,"[-4.4, 0.0, 0.0, -4.4, 0.073, 6.543, -4.1, 4.777, 7.824, -4.0, 5.148, 7.232, -4.0, 4.794, 7.556, -4.0, 4.789, 6.553, -3.9, 3.207, 4.748, -3.9, 1.864, 2.813, -3.9, 3.429, 6.777, -3.9, 3.639, 6.77]"
CIMG_06197_prepared_Disulfiram,18,-3.7,"[-3.7, 0.0, 0.0, -3.6, 2.012, 6.613, -3.6, 1.638, 2.587, -3.6, 2.19, 3.075, -3.6, 1.299, 5.688, -3.6, 1.23, 2.305, -3.5, 2.223, 5.99, -3.5, 1.513, 2.703, -3.5, 2.225, 6.077, -3.5, 4.918, 6.649]"
CIMG_06197_prepared_Disulfiram,19,-4.5,"[-4.5, 0.0, 0.0, -4.2, 1.106, 5.591, -4.2, 1.522, 5.693, -4.2, 0.888, 2.044, -4.2, 1.249, 2.361, -4.2, 0.92, 5.509, -4.1, 10.23, 12.387, -4.1, 1.307, 2.034, -4.1, 9.598, 12.147, -4.1, 1.456, 2.747]"
CIMG_06197_prepared_Disulfiram,3,-4.5,"[-4.5, 0.0, 0.0, -4.4, 0.105, 1.633, -4.4, 0.294, 6.845, -4.4, 0.55, 2.3, -4.4, 0.591, 6.944, -4.4, 1.507, 6.568, -4.4, 1.511, 2.002, -4.4, 0.639, 6.986, -4.4, 0.568, 1.675, -4.3, 1.23, 6.851]"
CIMG_06197_prepared_Disulfiram,9,-4.2,"[-4.2, 0.0, 0.0, -4.2, 3.142, 5.184, -4.1, 1.641, 5.493, -4.1, 2.35, 3.891, -4.1, 2.913, 4.436, -4.1, 2.993, 4.345, -4.1, 1.764, 3.076, -4.1, 2.36, 3.781, -4.1, 1.779, 6.356, -4.0, 0.895, 5.87]"
CIMG_06197_prepared_Disulfiram,8,-4.7,"[-4.7, 0.0, 0.0, -4.6, 2.075, 5.616, -4.6, 2.802, 6.21, -4.6, 2.141, 5.539, -4.6, 2.283, 5.76, -4.5, 2.179, 4.84, -4.5, 2.299, 3.89, -4.5, 3.666, 5.568, -4.5, 3.741, 6.866, -4.5, 2.465, 4.734]"
CIMG_06197_prepared_Disulfiram,10,-3.9,"[-3.9, 0.0, 0.0, -3.9, 2.398, 3.861, -3.9, 12.049, 14.278, -3.9, 2.256, 6.29, -3.8, 5.712, 7.952, -3.8, 2.38, 5.998, -3.8, 2.426, 5.803, -3.8, 2.614, 3.96, -3.8, 2.627, 5.425, -3.8, 12.446, 13.531]"
CIMG_06197_prepared_Disulfiram,2,-4.4,"[-4.4, 0.0, 0.0, -4.3, 4.454, 7.446, -4.3, 3.658, 6.946, -4.3, 4.482, 7.55, -4.3, 3.648, 5.884, -4.3, 4.416, 6.963, -4.3, 4.438, 7.064, -4.3, 3.653, 5.854, -4.3, 3.661, 5.737, -4.2, 3.617, 6.807]"
CIMG_06197_prepared_Disulfiram,15,-4.2,"[-4.2, 0.0, 0.0, -4.1, 2.315, 3.823, -4.1, 2.225, 3.807, -4.1, 1.387, 5.037, -4.1, 2.272, 4.63, -4.1, 1.782, 2.605, -4.1, 1.321, 4.781, -4.1, 2.274, 4.219, -4.1, 2.42, 3.916, -4.1, 2.109, 3.407]"
CIMG_06197_prepared_Disulfiram,7,-4.1,"[-4.1, 0.0, 0.0, -4.1, 0.86, 2.254, -4.1, 1.565, 7.288, -4.1, 1.473, 7.333, -4.0, 1.573, 7.439, -4.0, 0.928, 2.105, -4.0, 1.559, 2.448, -4.0, 5.757, 7.899, -4.0, 1.111, 1.88, -3.9, 1.367, 2.573]"
CIMG_06197_prepared_Disulfiram,13,-4.6,"[-4.6, 0.0, 0.0, -4.5, 6.606, 7.995, -4.5, 2.766, 3.793, -4.5, 2.553, 3.906, -4.5, 6.574, 8.008, -4.4, 3.109, 4.445, -4.4, 6.889, 8.33, -4.4, 5.368, 8.052, -4.4, 6.451, 8.646, -4.4, 3.862, 7.086]"
CIMG_06197_prepared_Disulfiram,17,-3.9,"[-3.9, 0.0, 0.0, -3.9, 1.898, 6.403, -3.8, 2.016, 3.088, -3.8, 1.295, 2.33, -3.8, 1.96, 6.2, -3.8, 1.296, 1.898, -3.8, 1.706, 6.636, -3.8, 1.847, 2.609, -3.8, 2.228, 6.595, -3.7, 1.976, 6.215]"
CIMG_06197_prepared_Disulfiram,16,-4.2,"[-4.2, 0.0, 0.0, -4.1, 0.652, 1.315, -4.1, 4.675, 7.544, -4.1, 7.661, 10.955, -4.1, 4.68, 7.468, -4.1, 15.288, 16.823, -4.1, 1.395, 2.007, -4.1, 3.286, 7.541, -4.0, 5.007, 7.79, -4.0, 4.62, 7.343]"
CIMG_06197_prepared_Disulfiram,20,-4.5,"[-4.5, 0.0, 0.0, -4.4, 0.446, 7.365, -4.4, 6.461, 7.861, -4.4, 6.408, 7.931, -4.4, 6.455, 7.977, -4.4, 5.588, 8.362, -4.4, 5.645, 8.226, -4.3, 5.025, 7.8, -4.3, 3.788, 7.882, -4.3, 5.518, 7.583]"
CIMG_06197_prepared_Disulfiram,6,-4.2,"[-4.2, 0.0, 0.0, -4.1, 13.576, 15.313, -4.0, 2.028, 2.975, -4.0, 13.247, 15.151, -4.0, 1.795, 2.838, -4.0, 1.65, 4.803, -3.9, 1.688, 5.095, -3.9, 12.572, 15.133, -3.9, 2.332, 4.901, -3.9, 2.756, 5.157]"
CIMG_06197_prepared_Beauvericin,5,-6.0,"[-6.0, 0.0, 0.0, -5.1, 0.79, 7.526, -5.0, 0.591, 7.776, -4.4, 1.921, 7.781, -4.1, 2.206, 3.97, -3.7, 1.927, 8.12]"
CIMG_06197_prepared_Beauvericin,12,-8.0,"[-8.0, 0.0, 0.0, -8.0, 15.883, 19.976, -7.8, 2.171, 7.264, -7.6, 2.14, 7.474, -7.6, 1.656, 6.196, -7.5, 16.196, 20.105, -7.5, 15.335, 18.824, -7.5, 2.135, 5.734, -7.3, 2.209, 3.874, -7.3, 2.14, 7.298]"
CIMG_06197_prepared_Beauvericin,1,-2.0,"[-2.0, 0.0, 0.0, -0.8, 1.835, 7.238, -0.2, 23.738, 29.017, 0.6, 7.484, 13.25, 1.0, 1.869, 3.108, 1.3, 23.483, 28.779]"
CIMG_06197_prepared_Beauvericin,14,-5.2,"[-5.2, 0.0, 0.0, -4.3, 1.192, 7.249, -4.0, 2.384, 8.876, -4.0, 2.225, 5.564, -3.3, 2.219, 5.006, -1.5, 2.543, 6.138, -1.5, 3.356, 8.93, -1.2, 2.232, 5.282]"
CIMG_06197_prepared_Beauvericin,4,-7.6,"[-7.6, 0.0, 0.0, -6.1, 0.859, 8.525, -6.0, 1.969, 8.619, -5.7, 1.484, 7.85, -5.5, 2.428, 8.253, -5.2, 2.453, 8.398, -4.6, 1.978, 8.115, -4.4, 2.639, 8.15, -4.3, 1.415, 8.272, -4.3, 1.846, 8.072]"
CIMG_06197_prepared_Beauvericin,11,-8.6,"[-8.6, 0.0, 0.0, -8.4, 1.206, 1.489, -8.1, 2.267, 6.35, -8.1, 1.083, 7.56, -7.9, 2.251, 6.974, -7.8, 1.573, 2.255, -7.7, 2.501, 4.441, -7.7, 2.637, 7.407, -7.7, 7.695, 11.654, -7.7, 2.079, 2.647]"
CIMG_06197_prepared_Beauvericin,18,-8.9,"[-8.9, 0.0, 0.0, -8.7, 0.853, 7.207, -8.5, 1.905, 2.642, -8.3, 1.342, 1.881, -8.3, 2.598, 6.026, -8.3, 2.738, 7.203, -8.2, 2.439, 6.626, -8.0, 2.339, 7.541, -7.8, 2.431, 3.761, -7.8, 2.463, 6.97]"
CIMG_06197_prepared_Beauvericin,19,-7.7,"[-7.7, 0.0, 0.0, -7.6, 2.148, 3.875, -7.5, 1.24, 7.344, -7.5, 3.33, 8.221, -7.5, 2.534, 3.455, -7.4, 1.534, 8.017, -7.4, 2.311, 3.692, -7.4, 2.092, 8.437, -7.4, 10.06, 15.494, -7.3, 2.511, 3.903]"
CIMG_06197_prepared_Beauvericin,3,-6.1,"[-6.1, 0.0, 0.0, -5.8, 0.804, 8.397, -5.4, 1.146, 8.027, -4.7, 1.604, 2.167, -4.6, 2.039, 8.332, -4.4, 1.135, 7.921, -4.2, 1.516, 7.354, -4.2, 1.971, 8.472, -2.9, 1.949, 7.205, -2.7, 1.963, 2.905]"
CIMG_06197_prepared_Beauvericin,9,-9.9,"[-9.9, 0.0, 0.0, -9.9, 0.761, 8.134, -9.6, 1.308, 8.227, -9.5, 2.477, 7.775, -9.2, 1.419, 7.625, -9.0, 2.367, 8.262, -9.0, 2.563, 8.631, -8.3, 1.469, 2.017, -8.1, 2.63, 7.823, -8.1, 2.509, 5.848]"
CIMG_06197_prepared_Beauvericin,8,-9.3,"[-9.3, 0.0, 0.0, -8.9, 3.994, 8.353, -8.8, 0.972, 7.825, -8.7, 2.342, 5.107, -8.7, 1.764, 7.03, -8.7, 3.011, 8.495, -8.5, 2.359, 6.913, -8.5, 2.748, 8.416, -8.4, 2.185, 8.703, -8.4, 1.854, 7.827]"
CIMG_06197_prepared_Beauvericin,10,-10.1,"[-10.1, 0.0, 0.0, -9.9, 2.248, 7.574, -9.5, 1.049, 7.175, -9.5, 2.181, 7.983, -9.3, 1.114, 7.121, -9.1, 3.061, 4.816, -9.0, 2.185, 8.059, -8.9, 1.713, 7.494, -8.9, 2.351, 8.177, -8.7, 2.214, 3.257]"
CIMG_06197_prepared_Beauvericin,2,-7.7,"[-7.7, 0.0, 0.0, -6.2, 0.895, 8.588, -6.0, 1.973, 8.621, -5.9, 1.677, 7.641, -5.5, 2.494, 8.252, -5.2, 2.466, 8.412, -4.8, 2.027, 8.134, -4.4, 2.603, 8.162, -4.4, 1.42, 8.29, -4.3, 2.033, 8.28]"
CIMG_06197_prepared_Beauvericin,15,-9.9,"[-9.9, 0.0, 0.0, -9.8, 0.735, 8.136, -9.6, 1.321, 8.233, -9.5, 2.484, 7.77, -9.4, 0.891, 1.258, -9.2, 1.4, 7.63, -9.0, 2.376, 8.283, -9.0, 2.554, 8.625, -8.2, 2.723, 7.888, -8.1, 2.507, 5.837]"
CIMG_06197_prepared_Beauvericin,7,-9.9,"[-9.9, 0.0, 0.0, -9.6, 1.342, 8.25, -9.5, 2.468, 7.762, -9.5, 16.554, 20.578, -9.5, 0.738, 8.078, -9.3, 15.31, 20.153, -9.2, 16.042, 19.62, -9.1, 13.845, 18.803, -9.1, 14.511, 20.285, -9.0, 14.642, 20.112]"
CIMG_06197_prepared_Beauvericin,13,-6.0,"[-6.0, 0.0, 0.0, -5.1, 0.789, 7.527, -4.9, 0.595, 7.756, -4.4, 1.915, 7.781, -4.1, 2.204, 3.974, -3.7, 1.925, 8.12]"
CIMG_06197_prepared_Beauvericin,17,-6.5,"[-6.5, 0.0, 0.0, -6.2, 16.03, 19.355, -6.0, 2.067, 8.149, -5.9, 13.91, 19.418, -5.9, 16.469, 19.902, -5.8, 16.826, 20.246, -5.8, 2.574, 8.332, -5.7, 2.107, 5.992, -5.7, 16.418, 20.962, -5.6, 2.705, 7.474]"
CIMG_06197_prepared_Beauvericin,16,-6.1,"[-6.1, 0.0, 0.0, -5.1, 0.79, 7.534, -5.0, 0.65, 7.71, -4.4, 1.927, 7.792, -4.1, 2.199, 3.963, -3.8, 1.909, 8.093]"
CIMG_06197_prepared_Beauvericin,20,-6.7,"[-6.7, 0.0, 0.0, -6.7, 2.894, 8.35, -6.7, 2.934, 7.309, -6.6, 3.475, 8.418, -6.6, 1.889, 2.713, -6.6, 3.433, 8.564, -6.6, 2.891, 6.98, -6.6, 3.079, 7.183, -6.6, 2.473, 8.351, -6.6, 2.492, 4.54]"
CIMG_06197_prepared_Beauvericin,6,-10.1,"[-10.1, 0.0, 0.0, -10.0, 2.245, 7.554, -9.5, 1.053, 7.182, -9.5, 2.187, 7.985, -9.3, 1.098, 7.123, -9.1, 3.039, 4.831, -9.0, 2.219, 8.088, -8.9, 1.552, 7.378, -8.9, 2.388, 8.205, -8.8, 2.055, 7.413]"
CIMG_06197_prepared_Verapamil,5,-6.6,"[-6.6, 0.0, 0.0, -6.3, 1.264, 2.141, -6.3, 1.321, 2.686, -6.1, 2.418, 3.589, -6.1, 7.302, 11.985, -6.1, 2.182, 4.39, -6.0, 2.762, 5.118, -6.0, 6.314, 9.99, -6.0, 1.521, 2.192, -6.0, 2.862, 5.634]"
CIMG_06197_prepared_Verapamil,12,-6.8,"[-6.8, 0.0, 0.0, -6.5, 1.821, 3.941, -6.4, 2.033, 2.79, -6.3, 3.269, 6.756, -6.3, 3.443, 7.252, -6.3, 1.797, 2.719, -6.3, 1.845, 4.297, -6.2, 3.511, 6.193, -6.2, 2.694, 4.963, -6.2, 3.009, 6.805]"
